timestamp,foo,bar,baz
1577689200,0.06,0.039366666666667,0.048
1577602800,0.0594,0.0396,0.04752
1577516400,0.06,0.04,0.04828
1577430000,0.05895,0.039766666666667,0.04772
1577343600,0.0598,0.0396,0.04948
1577257200,0.0598,0.0396,0.04784
1577170800,0.0621,0.0394,0.04968
1577084400,0.0627,0.040333333333333,0.05016
1576998000,0.0605,0.041566666666667,0.04988
1576911600,0.05985,0.039933333333333,0.04928
1576825200,0.058,0.0396,0.048
1576738800,0.06045,0.038766666666667,0.04836
1576652400,0.0546,0.0397,0.04852
1576566000,0.0591,0.036566666666667,0.04772
1576479600,0.06195,0.040066666666667,0.0508
1576393200,0.06275,0.042166666666667,0.0506
1576306800,0.066,0.0425,0.05296
1576220400,0.06605,0.043866666666667,0.05324
1576134000,0.0636,0.043433333333333,0.05448
1576047600,0.06275,0.0427,0.05168
1575961200,0.06575,0.041833333333333,0.0526
1575874800,0.06765,0.044633333333333,0.05476
1575788400,0.0675,0.044966666666667,0.05456
1575702000,0.0673,0.045366666666667,0.05444
1575615600,0.06685,0.045133333333333,0.05512
1575529200,0.0647,0.044566666666667,0.05352
1575442800,0.06615,0.043366666666667,0.05452
1575356400,0.0662,0.0443,0.05376
1575270000,0.06615,0.0439,0.05312
1575183600,0.06715,0.044366666666667,0.05372
1575097200,0.06915,0.045266666666667,0.05532
1575010800,0.0687,0.0457,0.05628
1574924400,0.07,0.0456,0.056
1574838000,0.0648,0.0464,0.05604
1574751600,0.0635,0.042333333333333,0.05172
1574665200,0.06185,0.0433,0.05196
1574578800,0.0674,0.041666666666667,0.05392
1574492400,0.067,0.045366666666667,0.05444
1574406000,0.0714,0.045366666666667,0.05712
1574319600,0.0783,0.048233333333333,0.06304
1574233200,0.0817,0.051833333333333,0.06536
1574146800,0.0776,0.0536,0.06744
1574060400,0.0829,0.0522,0.06744
1573974000,0.07975,0.054933333333333,0.06692
1573887600,0.07845,0.052833333333333,0.065
1573801200,0.08,0.0528,0.06404
1573714800,0.08225,0.053366666666667,0.0658
1573628400,0.0805,0.054433333333333,0.0664
1573542000,0.08075,0.053766666666667,0.06488
1573455600,0.08335,0.0536,0.06668
1573369200,0.0825,0.057666666666667,0.0692
1573282800,0.08245,0.054333333333333,0.0672
1573196400,0.0897,0.055333333333333,0.0718
1573110000,0.0906,0.0595,0.07616
1573023600,0.091,0.060866666666667,0.07308
1572937200,0.08875,0.060666666666667,0.0728
1572850800,0.08295,0.059166666666667,0.07112
